"Year","State","State_Population","State_Per_Capita_Income","Total_Charges","Percentage_of_US_Total_Charges","Race","Percentage_of_US_Race_Charges","Sex","Percentage_of_US_Sex_Charges","National_Origin","Percentage_of_US_National_Origin_Charges","Religion","Percentage_of_US_Religion_Charges","Color","Percentage_of_US_Color_Charges","Retaliation_All","Percentage_of_US_Retaliation_All_Charges","Retaliation_Title_VII","Percentage_of_US_Retaliation_Title_VII_Charges","Age","Percentage_of_US_Age_Charges","Disability","Percentage_of_US_Disability_Charges","Equal_Pay_Act","Percentage_of_US_EPA_Charges","GINA","Percentage_of_US_GINA_Charges","Gov_Party","White_Male_Pop","White_Female_Pop","Black_Male_Pop","Black_Female_Pop","Native_American_Male_Pop","Native_American_Female_Pop","Asian_Male_Pop","Asian_Female_Pop","Hispanic_Male_Pop","Hispanic_Female_Pop"
2014,"New Mexico",6056202,37219,955,"1.10%",202,"0.70%",307,"1.20%",180,"1.90%",35,"1.00%",33,"1.20%",465,"1.20%",350,"1.10%",266,"1.30%",286,"1.10%",11,"1.20%",0,"0.00%","R",407033,415526,24648,19541,89635,96811,15721,18858,460847,468019
2015,"New Mexico",6071732,38103,976,"1.10%",168,"0.50%",317,"1.20%",173,"1.80%",30,"0.80%",11,"0.40%",427,"1.10%",334,"1.10%",196,"1.00%",326,"1.30%",25,"2.70%",5,"1.50%","R",401851,410294,25009,19644,90155,97623,16103,19304,463079,471053
2016,"New Mexico",6087135,38775,920,"1.00%",189,"0.60%",307,"1.10%",158,"1.60%",31,"0.80%",26,"0.80%",451,"1.10%",340,"1.00%",203,"1.00%",291,"1.00%",22,"2.00%",1,"0.40%","R",398773,406843,25349,19881,90442,97947,16206,19658,465770,473641
2017,"New Mexico",6106670,39437,843,"1.00%",154,"0.50%",297,"1.20%",158,"1.90%",32,"0.90%",23,"0.70%",449,"1.10%",349,"1.10%",167,"0.90%",246,"0.90%",18,"1.80%",2,"1.00%","R",395130,403119,25695,20067,90662,98388,16457,19811,467790,476012
2018,"New Mexico",6121623,41145,582,"0.80%",95,"0.40%",224,"0.90%",87,"1.20%",17,"0.60%",21,"0.70%",322,"0.80%",243,"0.80%",137,"0.80%",186,"0.80%",16,"1.50%",3,"1.40%","R",390880,399027,26082,20325,90076,97893,16709,20168,470281,478773
2019,"New Mexico",6137428,42907,398,"0.50%",76,"0.30%",145,"0.60%",54,"0.80%",16,"0.60%",20,"0.60%",186,"0.50%",138,"0.50%",103,"0.70%",121,"0.50%",11,"1.00%",0,"0.00%","D",389219,397076,26845,20869,90214,98337,17198,20610,472641,481732
2020,"New Mexico",6154913,46092,386,"0.60%",81,"0.40%",137,"0.60%",62,"1.00%",17,"0.70%",14,"0.40%",230,"0.60%",157,"0.60%",97,"0.70%",148,"0.60%",13,"1.30%",2,"0.50%","D",388022,395453,27363,21330,90399,98677,17772,21211,475389,484696
2010,"New York",990697,48768,3804,"3.80%",1144,"3.20%",1091,"3.80%",696,"6.20%",218,"5.80%",269,"9.70%",1405,"3.90%",1245,"4.00%",869,"3.70%",1032,"4.10%",43,"4.10%",11,"5.50%","D",5585696,5878677,1352075,1572322,33512,36169,726791,784006,1302792,1315734
2011,"New York",997316,50904,3802,"3.80%",1162,"3.30%",1100,"3.90%",675,"5.70%",225,"5.40%",221,"7.80%",1415,"3.80%",1238,"3.90%",883,"3.80%",989,"3.80%",47,"5.10%",5,"2.00%","D",5580088,5862703,1361382,1580284,33755,36416,746294,806507,1324971,1339069
2012,"New York",1003783,53102,3914,"3.90%",1140,"3.40%",1226,"4.00%",675,"6.20%",205,"5.40%",231,"8.70%",1447,"3.80%",1214,"3.90%",910,"4.00%",1073,"4.10%",26,"2.40%",9,"3.20%","D",5569419,5841745,1368570,1584155,33933,36623,764812,828503,1343641,1357810
2013,"New York",1013569,53395,3550,"3.80%",990,"3.00%",1067,"3.90%",514,"4.80%",174,"4.70%",165,"5.20%",1398,"3.60%",1195,"3.80%",845,"3.90%",937,"3.60%",64,"6.30%",7,"2.10%","D",5552678,5816340,1375592,1587947,34232,36792,781151,848475,1358318,1373926
2014,"New York",1021869,55290,3611,"4.10%",984,"3.20%",1125,"4.30%",544,"5.70%",208,"5.90%",172,"6.20%",1537,"4.00%",1346,"4.40%",789,"3.80%",980,"3.90%",37,"3.90%",6,"1.80%","D",5529023,5785325,1378687,1589121,34360,36941,799475,870394,1369768,1387486
2015,"New York",1030475,57481,3669,"4.10%",1038,"3.30%",1158,"4.40%",628,"6.60%",190,"5.40%",161,"5.80%",1540,"4.10%",1305,"4.20%",909,"4.40%",1058,"4.20%",55,"5.90%",8,"2.40%","D",5497795,5746224,1380501,1587815,34490,37065,817589,891334,1380565,1399798
2016,"New York",1040859,59280,3740,"4.10%",1084,"3.40%",1202,"4.50%",601,"6.10%",180,"4.70%",208,"6.70%",1604,"3.80%",1401,"4.20%",865,"4.10%",1061,"3.80%",57,"5.30%",13,"5.50%","D",5462727,5702692,1379538,1583241,34587,37023,834046,910545,1389284,1407277
2017,"New York",1052482,63045,3690,"4.40%",1095,"3.80%",1142,"4.50%",577,"7.00%",242,"7.00%",225,"6.90%",1711,"4.70%",1492,"4.70%",858,"4.70%",1052,"3.90%",29,"2.90%",8,"3.90%","D",5427076,5661922,1376580,1576468,34601,37068,846407,924664,1393152,1413151
2018,"New York",1060665,65097,3478,"4.60%",901,"3.70%",1299,"5.30%",492,"6.90%",187,"6.50%",248,"7.80%",1654,"4.20%",1427,"4.70%",806,"4.80%",995,"4.00%",33,"3.10%",17,"7.70%","D",5391429,5622221,1372845,1568512,34673,37054,854554,934067,1397962,1420523
2019,"New York",1068778,67325,3220,"4.40%",881,"3.70%",1209,"5.10%",433,"6.20%",179,"6.60%",319,"9.30%",1841,"4.70%",1589,"5.30%",632,"4.10%",1008,"4.20%",64,"5.70%",6,"2.90%","D",5347566,5575984,1368414,1560488,34523,36970,861591,942728,1397644,1422588
2020,"New York",1084225,71449,2999,"4.40%",872,"4.00%",1190,"5.60%",433,"6.80%",166,"6.90%",317,"8.90%",1774,"4.70%",1481,"5.30%",598,"4.20%",930,"3.80%",55,"5.60%",14,"3.20%","D",5287517,5513379,1363338,1550231,34395,36772,864793,947430,1396351,1422722
2010,"North Carolina",1829542,35872,5219,"5.20%",2076,"5.80%",1470,"5.10%",472,"4.20%",205,"5.40%",87,"3.10%",1822,"5.00%",1601,"5.20%",994,"4.30%",1221,"4.90%",47,"4.50%",9,"4.50%","D",3092569,3237727,980021,1111414,56005,59955,110719,119999,365950,315774
2011,"North Carolina",1840672,36902,4918,"4.90%",1959,"5.50%",1341,"4.70%",437,"3.70%",174,"4.20%",76,"2.70%",1814,"4.90%",1547,"4.90%",991,"4.20%",1214,"4.70%",38,"4.10%",16,"6.50%","D",3107823,3255455,991602,1125269,56565,60495,115732,125561,368102,323212
2012,"North Carolina",1853303,39103,4778,"4.80%",1874,"5.60%",1387,"4.60%",412,"3.80%",183,"4.80%",81,"3.00%",1809,"4.80%",1502,"4.80%",934,"4.10%",1200,"4.50%",48,"4.40%",4,"1.40%","D",3126168,3272290,1003309,1139206,56893,61089,122196,132218,371963,330667
2013,"North Carolina",1865279,38394,4453,"4.80%",1748,"5.30%",1278,"4.60%",355,"3.30%",190,"5.10%",80,"2.50%",1887,"4.90%",1545,"4.90%",849,"4.00%",1252,"4.80%",37,"3.60%",17,"5.10%","R",3143326,3288672,1016271,1153913,57286,61703,129659,139976,376220,337768
2014,"North Carolina",1879321,40293,4017,"4.50%",1603,"5.20%",1178,"4.50%",329,"3.40%",168,"4.70%",77,"2.80%",1659,"4.40%",1345,"4.40%",864,"4.20%",1134,"4.50%",22,"2.30%",8,"2.40%","R",3158326,3306073,1027622,1167113,57709,62109,136403,146959,381532,345190
2015,"North Carolina",1891277,42076,4113,"4.60%",1653,"5.30%",1167,"4.50%",306,"3.20%",193,"5.40%",2,"0.10%",1779,"4.70%",1476,"4.80%",858,"4.20%",1159,"4.60%",45,"4.80%",9,"2.70%","R",3177608,3324218,1038611,1179479,58020,62436,143014,153441,390691,355004
2016,"North Carolina",1905616,42936,4372,"4.80%",1705,"5.30%",1265,"4.70%",321,"3.30%",210,"5.50%",118,"3.80%",2077,"4.90%",1673,"5.10%",885,"4.20%",1384,"4.90%",41,"3.80%",8,"3.40%","R",3202874,3349864,1051216,1194501,58383,62974,151356,161624,400378,366812
2017,"North Carolina",1915947,44529,3752,"4.50%",1447,"5.10%",1034,"4.00%",262,"3.20%",149,"4.30%",114,"3.50%",1854,"4.50%",1432,"4.50%",751,"4.10%",1210,"4.50%",52,"5.20%",9,"4.40%","D",3221966,3370921,1063779,1208342,58785,63440,159871,169699,410537,379368
2018,"North Carolina",1925614,46272,3583,"4.70%",1345,"5.50%",1079,"4.40%",280,"3.90%",141,"4.90%",117,"3.70%",1864,"4.70%",1477,"4.80%",758,"4.50%",1158,"4.70%",45,"4.20%",8,"3.60%","D",3242025,3393183,1075909,1222629,59034,63948,165766,175959,422978,393559
2019,"North Carolina",1934408,48261,3345,"4.60%",1249,"5.20%",1016,"4.30%",216,"3.10%",142,"5.20%",113,"3.30%",1832,"4.70%",1397,"4.60%",687,"4.40%",1146,"4.70%",41,"3.70%",12,"5.70%","D",3261864,3413826,1087114,1236360,59362,64368,172352,182842,434063,406309
2020,"North Carolina",1961504,50996,3439,"5.10%",1219,"5.50%",1021,"4.80%",239,"3.70%",106,"4.40%",122,"3.40%",1959,"5.20%",1408,"5.00%",649,"4.60%",1308,"5.40%",45,"4.60%",19,"4.30%","D",3277105,3434021,1096046,1248249,59591,64747,179237,189392,445205,419230
2010,"North Dakota",2702405,44264,31,"0.00%",10,"0.00%",13,"0.00%",1,"0.00%",2,"0.10%",0,"0.00%",13,"0.00%",9,"0.00%",11,"0.00%",12,"0.00%",0,"0.00%",0,"0.00%","R",305485,299942,5846,4144,18453,19147,3956,3971,6054,5190
2011,"North Dakota",2712730,49000,51,"0.10%",20,"0.10%",10,"0.00%",5,"0.00%",3,"0.10%",4,"0.10%",25,"0.10%",16,"0.10%",8,"0.00%",24,"0.10%",3,"0.30%",0,"0.00%","R",309726,302786,6420,4615,18744,19457,4269,4207,6683,5681
2012,"North Dakota",2743996,56443,80,"0.10%",27,"0.10%",24,"0.10%",11,"0.10%",0,"0.00%",2,"0.10%",38,"0.10%",25,"0.10%",18,"0.10%",33,"0.10%",0,"0.00%",2,"0.70%","R",316735,307417,7272,5259,19082,19749,4645,4510,7731,6504
2013,"North Dakota",2775970,54900,71,"0.10%",35,"0.10%",27,"0.10%",9,"0.10%",2,"0.10%",2,"0.10%",39,"0.10%",32,"0.10%",14,"0.10%",19,"0.10%",1,"0.10%",0,"0.00%","R",324789,313013,8806,6261,19468,20104,5153,4900,9112,7643
2014,"North Dakota",2817628,57523,91,"0.10%",41,"0.10%",24,"0.10%",18,"0.20%",8,"0.20%",7,"0.30%",57,"0.20%",47,"0.20%",11,"0.10%",26,"0.10%",1,"0.10%",0,"0.00%","R",330539,316754,10232,7189,19824,20369,5463,5161,10237,8548
2015,"North Dakota",2866939,53991,101,"0.10%",33,"0.10%",29,"0.10%",10,"0.10%",4,"0.10%",0,"0.00%",64,"0.20%",42,"0.10%",27,"0.10%",39,"0.20%",6,"0.60%",0,"0.00%","R",334996,320076,12627,8816,20145,20695,6065,5721,11657,9666
2016,"North Dakota",2917563,52005,81,"0.10%",23,"0.10%",29,"0.10%",5,"0.10%",6,"0.20%",1,"0.00%",42,"0.10%",26,"0.10%",13,"0.10%",37,"0.10%",4,"0.40%",2,"0.80%","R",332423,318254,14103,10062,20249,20871,6431,6105,12047,10115
2017,"North Dakota",2969905,52455,64,"0.10%",21,"0.10%",14,"0.10%",9,"0.10%",3,"0.10%",2,"0.10%",31,"0.10%",22,"0.10%",11,"0.10%",30,"0.10%",0,"0.00%",0,"0.00%","R",330265,316991,14753,10837,20318,20883,7069,6938,12389,10576
2018,"North Dakota",3027341,55511,64,"0.10%",19,"0.10%",26,"0.10%",7,"0.10%",3,"0.10%",1,"0.00%",37,"0.10%",22,"0.10%",21,"0.10%",29,"0.10%",2,"0.20%",0,"0.00%","R",329840,317001,15518,11709,20352,21030,7171,7124,12976,11111
2019,"North Dakota",3080156,57205,70,"0.10%",21,"0.10%",25,"0.10%",8,"0.10%",4,"0.10%",1,"0.00%",48,"0.10%",35,"0.10%",12,"0.10%",27,"0.10%",3,"0.30%",1,"0.50%","R",330109,317253,15939,12236,20593,21209,7252,7194,13831,11773
2020,"North Dakota",3104614,60451,65,"0.10%",19,"0.10%",25,"0.10%",7,"0.10%",8,"0.30%",2,"0.10%",46,"0.10%",32,"0.10%",9,"0.10%",19,"0.10%",8,"0.80%",0,"0.00%","R",329651,317073,16272,12577,20774,21381,7193,7131,14560,12340
2010,"Ohio",1316762,36854,3450,"3.50%",1191,"3.30%",1008,"3.50%",199,"1.80%",103,"2.70%",47,"1.70%",1073,"3.00%",908,"2.90%",1023,"4.40%",927,"3.70%",41,"3.90%",10,"5.00%","D",4629267,4834485,704185,771491,13882,14588,102811,111733,156790,145749
2011,"Ohio",1320202,39245,3137,"3.10%",1112,"3.10%",855,"3.00%",167,"1.40%",109,"2.60%",54,"1.90%",1032,"2.80%",825,"2.60%",897,"3.80%",928,"3.60%",29,"3.20%",10,"4.10%","R",4621046,4821458,708604,775771,13923,14748,106595,115546,161199,150248
2012,"Ohio",1324232,40759,3326,"3.30%",1165,"3.50%",884,"2.90%",185,"1.70%",104,"2.70%",78,"2.90%",1194,"3.20%",959,"3.10%",955,"4.20%",935,"3.50%",29,"2.70%",8,"2.90%","R",4612663,4805301,713957,779789,13971,14791,111073,120266,165674,154793
2013,"Ohio",1326622,41259,3071,"3.30%",1098,"3.30%",815,"2.90%",193,"1.80%",128,"3.40%",64,"2.00%",1167,"3.00%",915,"2.90%",874,"4.10%",970,"3.70%",31,"3.00%",11,"3.30%","R",4610367,4795467,721749,786937,14125,14916,117336,127040,170608,159825
2014,"Ohio",1333341,42829,2893,"3.30%",1049,"3.40%",804,"3.10%",149,"1.60%",107,"3.00%",47,"1.70%",1164,"3.10%",894,"2.90%",805,"3.90%",915,"3.60%",28,"3.00%",8,"2.40%","R",4605892,4786535,729345,793822,14240,15047,123615,133741,175522,164879
2015,"Ohio",1336350,44442,2796,"3.10%",979,"3.20%",780,"3.00%",155,"1.60%",90,"2.50%",71,"2.60%",1183,"3.10%",926,"3.00%",769,"3.70%",910,"3.60%",31,"3.30%",5,"1.50%","R",4595407,4772438,737193,800545,14337,15072,130241,140314,180445,169732
2016,"Ohio",1342307,45212,2673,"2.90%",928,"2.90%",752,"2.80%",159,"1.60%",108,"2.80%",64,"2.10%",1165,"2.80%",917,"2.80%",688,"3.30%",879,"3.10%",40,"3.70%",6,"2.50%","R",4585486,4758555,744486,806826,14446,15281,137366,147411,186021,175106
2017,"Ohio",1348787,46711,2392,"2.80%",825,"2.90%",672,"2.60%",164,"2.00%",90,"2.60%",82,"2.50%",1083,"2.50%",810,"2.50%",624,"3.40%",836,"3.10%",28,"2.80%",11,"5.30%","R",4577722,4748125,751784,814122,14543,15396,144297,154043,192159,181492
2018,"Ohio",1353465,48438,2274,"3.00%",815,"3.30%",661,"2.70%",132,"1.90%",92,"3.20%",87,"2.70%",1020,"2.60%",790,"2.60%",594,"3.50%",789,"3.20%",32,"3.00%",7,"3.20%","R",4565241,4735104,758994,821380,14681,15547,149601,158965,198298,187631
2019,"Ohio",1359711,49809,2392,"3.30%",837,"3.50%",756,"3.20%",148,"2.10%",100,"3.70%",100,"2.90%",1225,"3.10%",926,"3.10%",592,"3.80%",882,"3.60%",54,"4.80%",5,"2.40%","R",4555061,4722816,765877,827587,14848,15658,155147,164310,203776,193347
2020,"Ohio",1377529,53198,2130,"3.20%",693,"3.10%",685,"3.20%",110,"1.70%",73,"3.00%",73,"2.00%",1089,"2.90%",813,"2.90%",509,"3.60%",825,"3.40%",34,"3.50%",9,"2.00%","R",4539731,4705988,769714,831883,14979,15758,158923,168157,208913,198549
2010,"Oklahoma",8799446,37276,1563,"1.60%",589,"1.60%",501,"1.70%",101,"0.90%",52,"1.40%",43,"1.50%",625,"1.70%",532,"1.70%",373,"1.60%",421,"1.70%",18,"1.70%",2,"1.00%","D",1320459,1368519,152242,154255,175081,180514,35890,39486,149374,131709
2011,"Oklahoma",8828117,39800,1663,"1.70%",507,"1.40%",530,"1.90%",112,"0.90%",38,"0.90%",43,"1.50%",627,"1.70%",524,"1.70%",383,"1.60%",483,"1.90%",12,"1.30%",2,"0.80%","R",1322903,1370535,154015,155912,177006,182616,38021,41601,153804,136818
2012,"Oklahoma",8844942,42232,1498,"1.50%",484,"1.40%",458,"1.50%",109,"1.00%",40,"1.00%",25,"0.90%",583,"1.50%",497,"1.60%",366,"1.60%",448,"1.70%",31,"2.90%",9,"3.20%","R",1327255,1372696,156052,157572,178763,184425,40035,43746,158793,141890
2013,"Oklahoma",8856972,44017,1360,"1.50%",460,"1.40%",471,"1.70%",79,"0.70%",52,"1.40%",32,"1.00%",591,"1.50%",490,"1.60%",308,"1.40%",407,"1.60%",10,"1.00%",4,"1.20%","R",1331857,1376205,158896,159713,180877,186529,42218,46060,163331,146976
2014,"Oklahoma",8864525,46614,1294,"1.50%",405,"1.30%",432,"1.70%",109,"1.10%",43,"1.20%",40,"1.50%",560,"1.50%",437,"1.40%",337,"1.60%",449,"1.80%",10,"1.10%",7,"2.10%","R",1332702,1376724,160926,161359,182632,188388,44381,48378,167985,151655
2015,"Oklahoma",8867949,44894,1257,"1.40%",427,"1.40%",405,"1.60%",87,"0.90%",50,"1.40%",42,"1.50%",582,"1.50%",468,"1.50%",273,"1.30%",421,"1.70%",8,"0.90%",8,"2.40%","R",1334921,1378537,163492,163517,184450,190411,47009,51375,172944,156643
2016,"Oklahoma",8870827,42521,1058,"1.20%",325,"1.00%",349,"1.30%",54,"0.50%",46,"1.20%",32,"1.00%",499,"1.20%",391,"1.20%",280,"1.30%",316,"1.10%",7,"0.70%",4,"1.70%","R",1332385,1376782,164773,164819,186071,192087,48323,52831,178345,161651
2017,"Oklahoma",8885525,44444,1228,"1.50%",389,"1.40%",342,"1.30%",77,"0.90%",46,"1.30%",47,"1.50%",601,"1.40%",458,"1.40%",294,"1.60%",431,"1.60%",24,"2.40%",4,"1.90%","R",1326806,1371049,165792,165534,187307,193399,49087,53776,182211,165822
2018,"Oklahoma",8886025,46474,990,"1.30%",295,"1.20%",343,"1.40%",60,"0.80%",30,"1.00%",48,"1.50%",518,"1.30%",409,"1.30%",248,"1.50%",350,"1.40%",18,"1.70%",5,"2.30%","R",1322693,1367406,166813,166281,188340,194792,50285,54880,185975,169865
2019,"Oklahoma",8882190,48524,753,"1.00%",252,"1.10%",278,"1.20%",55,"0.80%",30,"1.10%",55,"1.60%",452,"1.20%",358,"1.20%",196,"1.30%",250,"1.00%",13,"1.20%",1,"0.50%","R",1322184,1367558,168572,167586,189262,195775,51541,56180,189602,173814
2020,"Oklahoma",9288994,50114,636,"0.90%",172,"0.80%",251,"1.20%",37,"0.60%",29,"1.20%",58,"1.60%",397,"1.10%",308,"1.10%",164,"1.20%",242,"1.00%",9,"0.90%",2,"0.50%","R",1322611,1368809,171058,169790,189693,196592,52607,57136,193957,178307
2010,"Oregon",2064552,36036,271,"0.30%",60,"0.20%",78,"0.30%",37,"0.30%",13,"0.30%",7,"0.30%",80,"0.20%",60,"0.20%",76,"0.30%",92,"0.40%",9,"0.90%",0,"0.00%","D",1511769,1565650,44347,38645,26219,26804,79814,91945,210839,192423
2011,"Oregon",2080450,37596,257,"0.30%",65,"0.20%",78,"0.30%",38,"0.30%",6,"0.10%",16,"0.60%",95,"0.30%",71,"0.20%",68,"0.30%",93,"0.40%",6,"0.70%",1,"0.40%","D",1518607,1572246,45530,39566,26347,27023,83886,96554,214971,197450
2012,"Oregon",2087309,39371,292,"0.30%",51,"0.20%",83,"0.30%",47,"0.40%",17,"0.40%",5,"0.20%",92,"0.20%",66,"0.20%",97,"0.40%",107,"0.40%",3,"0.30%",6,"2.10%","D",1524914,1576538,46501,40561,26455,27305,86917,99689,218150,201307
2013,"Oregon",2092273,39788,247,"0.30%",47,"0.10%",76,"0.30%",33,"0.30%",16,"0.40%",10,"0.30%",93,"0.20%",60,"0.20%",58,"0.30%",98,"0.40%",2,"0.20%",0,"0.00%","D",1529140,1580269,47444,41425,26617,27273,89179,102144,221811,205624
2014,"Oregon",2089568,42134,210,"0.20%",40,"0.10%",73,"0.30%",16,"0.20%",11,"0.30%",10,"0.40%",100,"0.30%",77,"0.30%",51,"0.20%",84,"0.30%",3,"0.30%",2,"0.60%","D",1538507,1588512,49092,42874,26833,27532,93240,106502,226750,210864
2015,"Oregon",2089291,44694,218,"0.20%",53,"0.20%",68,"0.30%",21,"0.20%",16,"0.50%",8,"0.30%",95,"0.30%",69,"0.20%",45,"0.20%",96,"0.40%",3,"0.30%",1,"0.30%","D",1553268,1602070,50745,44308,27152,27732,97086,110626,232295,216675
2016,"Oregon",2091630,45999,289,"0.30%",45,"0.10%",90,"0.30%",31,"0.30%",16,"0.40%",11,"0.40%",125,"0.30%",76,"0.20%",78,"0.40%",137,"0.50%",1,"0.10%",4,"1.70%","D",1573875,1621794,52801,46024,27535,28222,103391,117415,239447,223721
2017,"Oregon",2091784,47983,238,"0.30%",36,"0.10%",73,"0.30%",29,"0.30%",11,"0.30%",8,"0.20%",113,"0.20%",71,"0.20%",62,"0.30%",89,"0.30%",2,"0.20%",5,"2.40%","D",1586897,1633960,54410,47415,27801,28502,107403,121614,247159,230878
2018,"Oregon",2092741,50536,180,"0.20%",27,"0.10%",57,"0.20%",22,"0.30%",15,"0.50%",3,"0.10%",76,"0.20%",55,"0.20%",47,"0.30%",80,"0.30%",5,"0.50%",0,"0.00%","D",1593333,1640783,56049,48608,28092,28710,110230,124444,253134,236572
2019,"Oregon",2096829,52464,191,"0.30%",35,"0.10%",71,"0.30%",28,"0.40%",12,"0.40%",6,"0.20%",103,"0.30%",74,"0.20%",33,"0.20%",87,"0.40%",5,"0.40%",4,"1.90%","D",1598517,1646658,57544,49761,28289,29041,112541,126954,258864,242282
2020,"Oregon",2117522,56311,222,"0.30%",48,"0.20%",69,"0.30%",23,"0.40%",7,"0.30%",12,"0.30%",125,"0.30%",78,"0.30%",41,"0.30%",119,"0.50%",3,"0.30%",7,"1.60%","D",1600550,1649663,58898,50793,28463,29259,114698,129347,264457,247805
2010,"Pennsylvania",12711160,42251,4708,"4.70%",1300,"3.60%",1428,"4.90%",385,"3.40%",172,"4.50%",64,"2.30%",1642,"4.50%",1262,"4.10%",1361,"5.90%",1487,"5.90%",56,"5.40%",5,"2.50%","D",4966711,5225365,668222,730830,10351,11155,179553,192875,296091,279819
2011,"Pennsylvania",12745815,44211,4302,"4.30%",1178,"3.30%",1290,"4.50%",340,"2.90%",173,"4.20%",75,"2.60%",1599,"4.30%",1208,"3.80%",1174,"5.00%",1339,"5.20%",32,"3.50%",4,"1.60%","R",4959777,5209588,674693,736682,10505,11272,186625,201022,306995,290714
2012,"Pennsylvania",12767118,45855,4535,"4.60%",1214,"3.60%",1293,"4.30%",318,"2.90%",161,"4.20%",76,"2.90%",1691,"4.50%",1253,"4.00%",1350,"5.90%",1437,"5.40%",39,"3.60%",3,"1.10%","R",4948189,5188093,681478,740915,10619,11350,193405,208272,317877,301166
2013,"Pennsylvania",12776309,46213,4390,"4.70%",1208,"3.70%",1245,"4.50%",333,"3.10%",183,"4.90%",82,"2.60%",1715,"4.50%",1247,"4.00%",1182,"5.50%",1357,"5.20%",41,"4.00%",7,"2.10%","R",4933273,5162846,687545,744829,10680,11426,200521,216187,326588,309714
2014,"Pennsylvania",12788313,48063,4045,"4.60%",1148,"3.70%",1102,"4.20%",299,"3.10%",148,"4.20%",77,"2.80%",1566,"4.10%",1139,"3.70%",1086,"5.30%",1315,"5.20%",27,"2.90%",6,"1.80%","R",4915660,5139925,691941,748599,10777,11510,207969,224486,336925,320281
2015,"Pennsylvania",12784826,49927,4420,"5.00%",1215,"3.90%",1285,"4.90%",303,"3.20%",171,"4.80%",96,"3.50%",1992,"5.20%",1409,"4.60%",1161,"5.60%",1542,"6.10%",46,"4.90%",3,"0.90%","D",4893814,5110718,696154,750943,10871,11626,214256,231137,347259,330517
2016,"Pennsylvania",12782275,51181,4564,"5.00%",1228,"3.80%",1255,"4.70%",297,"3.00%",173,"4.50%",100,"3.20%",1964,"4.70%",1335,"4.00%",1198,"5.70%",1646,"5.90%",52,"4.80%",5,"2.10%","D",4868361,5080897,700465,753930,10984,11739,221480,238314,358938,341731
2017,"Pennsylvania",12787641,52499,4516,"5.40%",1195,"4.20%",1293,"5.00%",328,"4.00%",181,"5.30%",110,"3.40%",2133,"4.50%",1428,"4.50%",1118,"6.10%",1647,"6.10%",59,"5.90%",8,"3.90%","D",4844598,5052943,704040,757905,11012,11827,228736,245157,371261,354770
2018,"Pennsylvania",12800922,55184,4463,"5.80%",1179,"4.80%",1381,"5.60%",327,"4.60%",168,"5.90%",204,"6.40%",2452,"6.20%",1640,"5.40%",1014,"6.00%",1665,"6.80%",65,"6.10%",5,"2.30%","D",4822295,5026139,708916,761904,11157,11892,235513,251129,385952,369489
2019,"Pennsylvania",12801989,56742,4312,"5.90%",1168,"4.90%",1315,"5.60%",352,"5.00%",165,"6.10%",239,"7.00%",2436,"6.20%",1688,"5.60%",1019,"6.50%",1679,"6.90%",64,"5.70%",17,"8.10%","D",4797925,4998741,711717,764851,11206,11977,240898,256181,393786,378411
2020,"Pennsylvania",13002700,60720,4599,"6.80%",1283,"5.80%",1469,"6.90%",348,"5.50%",176,"7.30%",294,"8.30%",2646,"7.00%",1743,"6.20%",1089,"7.70%",1892,"7.80%",69,"7.00%",13,"3.00%","D",4771029,4967823,714570,765971,11332,12071,246257,261574,403278,388447
2010,"Rhode Island",1053959,42766,48,"0.00%",7,"0.00%",21,"0.10%",3,"0.00%",0,"0.00%",1,"0.00%",11,"0.00%",9,"0.00%",20,"0.10%",13,"0.10%",1,"0.10%",1,"0.50%","R",393707,425408,32021,32200,2507,2707,15727,17634,51386,52069
2011,"Rhode Island",1053649,44201,64,"0.10%",12,"0.00%",15,"0.10%",4,"0.00%",3,"0.10%",3,"0.10%",17,"0.00%",13,"0.00%",18,"0.10%",22,"0.10%",1,"0.10%",0,"0.00%","D",390634,421618,32540,32680,2510,2696,16391,18424,53037,53301
2012,"Rhode Island",1054621,45601,47,"0.00%",15,"0.00%",9,"0.00%",10,"0.10%",1,"0.00%",5,"0.20%",17,"0.00%",12,"0.00%",18,"0.10%",10,"0.00%",0,"0.00%",0,"0.00%","D",388299,418872,32687,32912,2519,2692,16883,18969,54923,54677
2013,"Rhode Island",1055081,45447,62,"0.10%",12,"0.00%",23,"0.10%",4,"0.00%",4,"0.10%",3,"0.10%",19,"0.00%",16,"0.10%",20,"0.10%",15,"0.10%",0,"0.00%",0,"0.00%","D",385980,416092,33160,33470,2535,2697,17299,19288,56363,55847
2014,"Rhode Island",1055936,47199,57,"0.10%",14,"0.00%",17,"0.10%",6,"0.10%",5,"0.10%",5,"0.20%",21,"0.10%",18,"0.10%",26,"0.10%",16,"0.10%",1,"0.10%",0,"0.00%","D",383584,413053,33733,33965,2540,2705,17852,19718,58041,57275
2015,"Rhode Island",1056065,48682,53,"0.10%",16,"0.10%",12,"0.00%",2,"0.00%",1,"0.00%",6,"0.20%",18,"0.00%",12,"0.00%",20,"0.10%",19,"0.10%",0,"0.00%",0,"0.00%","D",380800,409425,34211,34469,2564,2699,18413,20197,59894,58757
